# www.neaspec.com
# Scan:	 	3D (PsHet)
# Project:	 	Test
# Description:	 	single_wg_20mu_3d
# Date:	 	05/08/2024 14:41:00
# Scanner Center Position (X, Y):	[µm]	70.08	48.92	 
# Rotation:	[°]	+88	 	 
# Scan Area (X, Y, Z):	[µm]	4.000	0.000	0.500
# Pixel Area (X, Y, Z):	[px]	40	1	250
# Averaging:	 	1	 	 
# Integration time:	[ms]	49	 	 
# Laser Source:	 	Tunable VIS
# Detector:	 	NIR
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	PsHet
# Tip Frequency:	[Hz]	263,187.244	 	 
# Tip Amplitude:	[mV]	12.100	 	 
# Tapping Amplitude:	[nm]	76.231	 	 
# Modulation Frequency:	[Hz]	304.390	 	 
# Modulation Amplitude:	[mV]	10,000.000	 	 
# Modulation Offset:	[mV]	-4,526.203	 	 
# Setpoint:	[%]	79.53	 	 
# Regulator (P, I, D):	 	2.054942	2.808500	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	14.000	 	 
# Q-Factor:	 	457.3	 	 
# Version:	 	1.10.9592.0
Row	Column	Run	Depth	Z	M	EA	EP	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	17	4.217663E-07	NaN	NaN	NaN	182.8071	0	84.15636	1.058644	0.003989518	1.620802	0.001122117	-2.213756	0.0009299263	0.01030551	0	0	443.3279	0	0.05686915	2.716232	0.006848702	1.961173	0.009276249	1.014534	0.008511556	0.6984033	0	0	
0	0	0	18	4.237911E-07	NaN	NaN	NaN	182.816	0	84.16824	1.058814	0.006969903	1.750214	0.001972699	-2.647438	0.0009240872	0.3281505	0	0	443.3557	0	0.0569145	2.702358	0.001393694	0.573011	0.008898281	-0.6309124	0.01417365	2.556985	0	0	
0	0	0	19	4.257991E-07	NaN	NaN	NaN	182.8141	0	84.14418	1.058898	0.003962493	1.000966	0.001016056	-2.279908	0.0007876423	1.52903	0	0	443.3683	0	0.05590522	2.699693	0.006586382	1.532879	0.006006299	2.161184	0.011988	-0.396403	0	0	
0	0	0	20	4.278072E-07	NaN	NaN	NaN	182.8189	0	84.16323	1.059018	0.003459115	2.159645	0.001601535	-2.77726	0.0005589541	0.2128777	0	0	443.377	0	0.0584435	2.7836	0.008780064	1.853437	0.004871457	-0.8158236	0.002804711	0.4553151	0	0	
0	0	0	21	4.298152E-07	NaN	NaN	NaN	182.8026	0	84.22733	1.059346	0.002798867	1.725885	0.0004604749	-0.877344	0.0004456349	1.012553	0	0	443.3774	0	0.05666355	2.704573	0.01190156	1.909214	0.005877648	-1.758826	0.01069698	1.298808	0	0	
0	0	0	22	4.318065E-07	NaN	NaN	NaN	182.7901	0	84.19749	1.058676	0.002893433	1.374908	0.0009922155	-3.06686	0.0001350694	-2.736572	0	0	443.3777	0	0.05680703	2.760075	0.01009311	2.025912	0.004935569	-1.951196	0.01780878	-1.979624	0	0	
0	0	0	23	4.338313E-07	NaN	NaN	NaN	182.8077	0	84.22641	1.059234	0.003744784	1.388061	0.0008856786	-2.489812	0.0002893024	-2.91312	0	0	443.3725	0	0.0525426	2.811019	0.007499463	1.930154	0.00615715	2.811761	0.001648871	2.151461	0	0	
0	0	0	24	4.358393E-07	NaN	NaN	NaN	182.7845	0	84.23425	1.058794	0.003461933	1.096905	0.0003261254	-2.245224	0.0002416644	-1.435619	0	0	443.3998	0	0.05400614	2.683232	0.01064572	2.609814	0.001999526	-2.156178	0.004147034	2.417754	0	0	
0	0	0	25	4.378473E-07	NaN	NaN	NaN	182.7836	0	84.26099	1.058398	0.003249973	1.109929	0.0008837239	-2.287895	0.0001400142	-2.281085	0	0	443.4018	0	0.0574132	2.777419	0.004198947	1.816548	0.01103518	2.829268	0.01398558	1.275536	0	0	
0	0	0	26	4.398386E-07	NaN	NaN	NaN	182.7698	0	84.1918	1.058932	0.003941451	0.8999986	0.001018987	-2.864095	0.0005454799	1.607962	0	0	443.4117	0	0.05831701	2.704389	0.01616937	1.773626	0.004905712	0.9692024	0.008845898	0.1653383	0	0	
